REGION,COUNTRY,SECTOR,SUBSECTOR,YEAR,QUARTER,"Dividend, USD"
Canada,Canada,Consumer Cyclical,Auto,2010,10Q3,84533630.4
Canada,Canada,Consumer Cyclical,Auto,2010,10Q4,43623263.88
Canada,Canada,Consumer Cyclical,Auto,2011,11Q1,60869744
Canada,Canada,Consumer Cyclical,Auto,2011,11Q2,60477345
Canada,Canada,Consumer Cyclical,Auto,2011,11Q3,60518240
Canada,Canada,Consumer Cyclical,Auto,2011,11Q4,59205418.5
Canada,Canada,Consumer Cyclical,Auto,2012,12Q1,64187234.65
Canada,Canada,Consumer Cyclical,Auto,2012,12Q2,64203186.85
Canada,Canada,Consumer Cyclical,Auto,2012,12Q3,64214568.55
Canada,Canada,Consumer Cyclical,Auto,2012,12Q4,64137734.65
Canada,Canada,Consumer Cyclical,Auto,2013,13Q1,74676200
Canada,Canada,Consumer Cyclical,Auto,2013,13Q2,74532527.04
Canada,Canada,Consumer Cyclical,Auto,2013,13Q3,72997184.32
Canada,Canada,Consumer Cyclical,Auto,2013,13Q4,71626864.64
Canada,Canada,Consumer Cyclical,Auto,2014,14Q1,84046957.9
Canada,Canada,Consumer Cyclical,Auto,2014,14Q2,82882509.84
Canada,Canada,Consumer Cyclical,Auto,2014,14Q3,80784641.94
Canada,Canada,Consumer Cyclical,Auto,2014,14Q4,78794878.34
Canada,Canada,Consumer Cyclical,Auto,2015,15Q1,90278581.8
Canada,Canada,Consumer Cyclical,Auto,2015,15Q2,90370810.2
Canada,Canada,Consumer Cyclical,Auto,2015,15Q3,90415495.5
Canada,Canada,Consumer Cyclical,Auto,2015,15Q4,88963636.08
Canada,Canada,Consumer Cyclical,Auto,2016,16Q1,100676220.75
Canada,Canada,Consumer Cyclical,Auto,2016,16Q2,99174040.5
Canada,Canada,Consumer Cyclical,Auto,2016,16Q3,97259792.75
Canada,Canada,Consumer Cyclical,Auto,2016,16Q4,96102320.75
Canada,Canada,Consumer Cyclical,Auto,2017,17Q1,105120635.125
Canada,Canada,Consumer Cyclical,Auto,2017,17Q2,104573015.525
Canada,Canada,Consumer Cyclical,Auto,2017,17Q3,101868413.9
Canada,Canada,Consumer Cyclical,Auto,2017,17Q4,99376118.05
Canada,Canada,Consumer Cyclical,Auto,2018,18Q1,118270423.26
Canada,Canada,Consumer Cyclical,Auto,2018,18Q2,116742921.9
Canada,Canada,Consumer Cyclical,Auto,2018,18Q3,113153596.05
Canada,Canada,Consumer Cyclical,Auto,2018,18Q4,110389165.92
Canada,Canada,Consumer Cyclical,Auto,2019,19Q1,118719898.54
Canada,Canada,Consumer Cyclical,Auto,2019,19Q2,117660530.205
Canada,Canada,Consumer Cyclical,Auto,2019,19q3,114676908.15
Canada,Canada,Consumer Cyclical,Auto,2019,19Q4,111656428.395
Canada,Canada,Consumer Cyclical,Auto,2020,20Q1,121300208
